epoch	train_loss	valid_loss	rouge1	rouge2	rougeL	bertscore_precision	bertscore_recall	bertscore_f1	bleu	meteor	sacrebleu	time
69	0.045066	2.459676	0.326719	0.137283	0.270193	0.726552	0.733690	0.729755	0.168789	0.167456	7.085963	00:04
70	0.040721	2.594412	0.389255	0.119416	0.288382	0.724294	0.740745	0.732095	0.183795	0.185877	3.101684	00:04
71	0.047860	2.504449	0.359657	0.135039	0.274077	0.733513	0.735855	0.734459	0.197835	0.174179	7.037499	00:04
72	0.060194	2.534367	0.263985	0.076608	0.211091	0.710890	0.697726	0.704099	0.093354	0.065509	1.258977	00:04
73	0.061017	2.424806	0.396406	0.187610	0.328226	0.730199	0.726629	0.728235	0.222698	0.182330	5.150321	00:04
74	0.051220	2.447860	0.413948	0.170018	0.312370	0.744916	0.737366	0.740765	0.212619	0.186958	6.880671	00:04
75	0.050623	2.600216	0.467852	0.228745	0.359741	0.738737	0.748169	0.743063	0.300288	0.272633	8.242100	00:04
76	0.050070	2.562492	0.370876	0.133191	0.297268	0.728098	0.727947	0.727766	0.177701	0.143406	4.837024	00:04
77	0.045684	2.589817	0.434889	0.201922	0.356394	0.752960	0.746256	0.749399	0.271636	0.238341	8.316908	00:04
78	0.046487	2.534656	0.296600	0.083236	0.229328	0.716643	0.713438	0.714895	0.137885	0.120456	2.881313	00:04
79	0.045208	2.352574	0.349585	0.090236	0.262215	0.719208	0.720980	0.719917	0.162718	0.115871	2.339285	00:04
80	0.037237	2.390306	0.393746	0.133366	0.296669	0.748791	0.739986	0.744129	0.156997	0.161030	5.496926	00:04
81	0.027522	2.468212	0.362735	0.106181	0.278989	0.735394	0.724084	0.729380	0.137179	0.144826	5.066690	00:04
82	0.039019	2.466945	0.340319	0.111870	0.251814	0.706605	0.695734	0.700797	0.154218	0.089059	4.493131	00:04
83	0.033865	2.586173	0.356291	0.138280	0.279675	0.720290	0.732272	0.725998	0.241053	0.187478	9.314022	00:04
84	0.028247	2.486965	0.326378	0.103144	0.247747	0.734384	0.725342	0.729651	0.160559	0.124047	4.994148	00:04
85	0.027192	2.372074	0.395327	0.149672	0.322321	0.735212	0.737017	0.735954	0.228420	0.200699	5.075822	00:04
86	0.024154	2.6212
